ID,Actual Answer,Generated Answer
248,no,yes
249,yes,yes
250,no,yes
251,yes,yes
252,no,no
253,yes,yes
254,no,no
255,yes,yes
256,no,no
257,yes,yes
258,no,yes
259,yes,no
260,no,no
261,yes,yes
262,yes,yes
263,yes,yes
264,no,yes
265,yes,yes
266,no,yes
267,no,yes
268,yes,no
269,no,yes
270,yes,yes
271,no,no
272,yes,yes
273,no,no
274,yes,no
275,no,yes
276,yes,no
277,no,yes
278,yes,yes
279,no,no
280,yes,yes
281,no,no
282,yes,yes
283,no,yes
284,yes,yes
285,no,yes
286,yes,no
287,yes,yes
288,yes,no
289,no,no
290,yes,yes
291,yes,yes
292,no,yes
293,yes,yes
294,yes,yes
295,yes,yes
296,no,yes
297,yes,yes
298,no,yes
299,yes,yes
300,no,yes
301,yes,no
302,no,yes
303,yes,yes
304,no,yes
305,yes,yes
306,no,yes
307,yes,yes
308,no,no
309,yes,yes
310,no,no
311,yes,yes
312,yes,yes
313,no,yes
314,yes,yes
315,no,no
316,no,yes
317,yes,yes
318,no,yes
319,yes,no
320,no,yes
321,yes,yes
322,yes,yes
323,yes,no
324,no,yes
325,yes,yes
326,no,no
327,yes,yes
328,no,yes
329,no,yes
330,yes,yes
331,no,no
332,yes,no
333,no,yes
334,yes,no
335,no,no
336,yes,no
337,no,no
338,yes,yes
339,no,yes
340,yes,no
341,no,no
342,yes,yes
343,no,yes
344,yes,yes
345,yes,yes
346,no,yes
347,yes,yes
348,no,yes
349,yes,no
350,no,yes
351,no,yes
352,yes,yes
353,no,yes
354,yes,no
355,no,yes
356,yes,yes
357,no,yes
358,yes,yes
359,no,yes
360,yes,yes
361,no,yes
362,yes,no
363,no,yes
364,yes,no
365,no,yes
366,yes,no
367,yes,yes
368,no,no
369,yes,no
370,no,yes
371,yes,no
372,no,yes
373,no,yes
374,yes,no
375,no,no
376,yes,no
377,no,yes
378,yes,no
379,no,yes
380,yes,no
381,no,no
382,yes,no
383,no,yes
384,yes,yes
385,yes,yes
386,yes,yes
387,yes,yes
388,yes,no
389,yes,no
390,yes,no
391,yes,no
392,no,yes
393,yes,yes
394,no,yes
395,yes,no
396,no,no
397,yes,no
398,no,yes
399,yes,yes
400,no,no
401,yes,yes
402,no,yes
403,yes,yes
404,no,no
405,yes,no
406,yes,yes
407,no,no
408,yes,yes
409,no,yes
410,no,yes
411,yes,yes
412,no,no
413,yes,no
414,no,no
415,yes,yes
416,no,yes
417,yes,yes
418,no,yes
419,yes,yes
420,no,no
421,yes,yes
422,no,yes
423,yes,yes
424,no,yes
425,yes,yes
426,no,no
427,yes,yes
428,yes,yes
429,no,yes
430,yes,yes
431,no,yes
432,no,yes
433,yes,yes
434,no,yes
435,yes,yes
436,no,yes
437,yes,yes
438,no,yes
439,yes,yes
440,no,yes
441,yes,yes
442,no,yes
443,no,yes
444,yes,yes
445,no,yes
446,yes,yes
447,no,yes
448,yes,yes
449,no,yes
450,yes,yes
451,no,yes
452,yes,yes
453,no,no
454,yes,yes
455,no,yes
456,yes,yes
457,yes,yes
458,no,yes
459,yes,no
460,no,yes
461,yes,yes
462,no,yes
463,no,yes
464,yes,no
465,no,no
466,yes,yes
467,no,yes
468,yes,yes
469,no,yes
470,yes,yes
471,no,yes
472,yes,yes
473,no,yes
474,yes,yes
475,no,yes
476,yes,yes
477,no,yes
478,yes,yes
479,yes,yes
480,no,yes
481,yes,yes
482,no,yes
483,yes,yes
484,no,no
485,no,yes
486,yes,yes
487,no,yes
488,yes,yes
489,no,yes
490,yes,yes
491,no,yes
492,yes,yes
493,no,no
494,yes,yes
495,no,yes
496,yes,yes
497,no,yes
498,yes,yes
499,no,yes
500,yes,yes
501,yes,yes
502,no,yes
503,yes,no
504,no,yes
505,yes,no
506,no,yes
507,no,yes
508,yes,yes
509,no,yes
510,yes,yes
511,no,yes
512,yes,yes
513,no,yes
514,yes,yes
515,no,yes
516,yes,yes
517,no,yes
518,yes,yes
519,no,yes
520,yes,yes
521,no,yes
522,yes,yes
523,yes,yes
524,no,yes
525,yes,yes
526,no,yes
527,yes,yes
528,yes,yes
529,no,yes
530,no,no
531,yes,yes
532,no,no
533,yes,yes
534,no,yes
535,yes,yes
536,no,yes
537,yes,yes
538,no,yes
539,yes,yes
540,no,no
541,yes,yes
542,no,yes
543,yes,no
544,no,yes
545,yes,yes
546,yes,yes
547,no,no
548,yes,yes
549,no,yes
550,yes,yes
551,no,yes
552,yes,yes
553,no,yes
554,yes,yes
555,no,yes
556,yes,yes
557,no,yes
558,yes,yes
559,yes,yes
560,no,yes
561,yes,yes
562,no,no
563,yes,yes
564,no,yes
565,no,yes
566,yes,no
567,no,yes
568,yes,yes
569,no,yes
570,yes,yes
571,no,yes
572,yes,no
573,no,yes
574,yes,no
575,no,yes
576,yes,yes
577,no,no
578,yes,yes
579,yes,yes
580,yes,yes
581,no,no
582,yes,no
583,no,yes
584,yes,yes
585,no,yes
586,no,yes
587,yes,yes
588,no,no
589,yes,yes
590,yes,yes
591,yes,yes
592,yes,yes
593,yes,yes
594,yes,yes
595,no,yes
596,yes,yes
597,yes,yes
598,yes,yes
599,yes,yes
600,yes,yes
601,yes,yes
602,no,yes
603,yes,yes
604,yes,yes
605,no,yes
606,yes,yes
607,no,yes
608,yes,yes
609,no,yes
610,yes,yes
611,no,yes
612,yes,yes
613,no,no
614,yes,no
615,yes,yes
616,no,yes
617,yes,yes
618,no,no
619,yes,yes
620,no,yes
621,no,yes
622,yes,yes
623,no,no
624,yes,yes
625,no,yes
626,yes,yes
627,no,yes
628,yes,yes
629,no,yes
630,yes,yes
631,no,yes
632,yes,yes
633,no,yes
634,yes,yes
635,no,yes
636,yes,yes
637,no,yes
638,yes,yes
639,no,yes
640,yes,yes
641,yes,yes
642,no,yes
643,yes,yes
644,no,yes
645,yes,yes
646,no,yes
647,no,yes
648,yes,yes
649,no,yes
650,yes,yes
651,no,yes
652,yes,yes
653,no,yes
654,yes,yes
655,no,yes
656,yes,yes
657,no,yes
658,yes,yes
659,no,yes
660,yes,no
661,no,no
662,yes,no
663,yes,yes
664,no,yes
665,yes,yes
666,no,yes
667,yes,yes
668,no,yes
669,yes,yes
670,no,no
671,no,yes
672,yes,no
673,no,no
674,yes,yes
675,no,no
676,yes,yes
677,no,yes
678,yes,yes
679,no,no
680,yes,yes
681,yes,yes
682,no,yes
683,yes,yes
684,no,yes
685,yes,yes
686,no,yes
687,yes,yes
688,no,yes
689,yes,yes
690,no,yes
691,yes,yes
692,no,yes
693,yes,yes
694,yes,yes
695,yes,yes
696,yes,no
697,yes,yes
698,yes,yes
699,yes,yes
700,yes,yes
701,no,yes
702,yes,yes
703,yes,yes
704,yes,yes
705,yes,yes
706,no,no
707,yes,no
708,no,yes
709,yes,yes
710,no,yes
711,yes,yes
712,no,no
713,yes,yes
714,yes,yes
715,no,yes
716,yes,yes
717,no,yes
718,yes,yes
719,no,yes
720,no,yes
721,yes,no
722,no,yes
723,yes,yes
724,no,yes
725,yes,yes
726,no,no
727,yes,yes
728,no,yes
729,yes,yes
730,no,yes
731,no,yes
732,yes,yes
733,yes,yes
734,no,yes
735,yes,yes
736,no,no
737,yes,yes
738,no,yes
739,no,yes
740,yes,no
741,no,yes
742,yes,yes
743,no,yes
744,yes,yes
745,no,yes
746,yes,yes
747,no,yes
748,yes,yes
749,no,yes
750,yes,yes
751,no,yes
752,yes,yes
753,yes,yes
754,no,yes
755,yes,yes
756,no,yes
757,no,yes
758,yes,yes
759,no,yes
760,yes,yes
761,no,yes
762,yes,yes
763,yes,no
764,no,yes
765,yes,yes
766,no,yes
767,yes,yes
768,no,yes
769,no,yes
770,yes,yes
771,no,yes
772,yes,yes
773,no,yes
774,yes,yes
775,no,yes
776,yes,no
777,no,yes
778,yes,yes
779,no,yes
780,yes,yes
781,yes,yes
782,no,yes
783,yes,yes
784,no,yes
785,yes,yes
786,no,yes
787,no,yes
788,yes,yes
789,no,no
790,yes,yes
791,no,yes
792,yes,yes
793,no,no
794,yes,yes
795,no,yes
796,yes,yes
797,no,yes
798,yes,yes
799,no,no
800,yes,yes
801,no,yes
802,yes,yes
803,yes,yes
804,no,yes
805,yes,yes
806,no,yes
807,no,yes
808,yes,yes
809,no,yes
810,yes,yes
811,no,yes
812,yes,yes
813,no,yes
814,yes,yes
815,no,yes
816,yes,yes
817,no,yes
818,yes,no
819,no,yes
820,yes,yes
821,no,no
822,yes,yes
823,yes,yes
824,no,yes
825,yes,yes
826,no,yes
827,yes,yes
828,no,yes
829,yes,yes
830,no,yes
831,no,no
832,yes,no
833,no,yes
834,yes,yes
835,no,yes
836,yes,yes
837,no,yes
838,yes,yes
839,no,yes
840,yes,yes
841,yes,yes
842,no,yes
843,yes,yes
844,no,yes
845,yes,yes
846,yes,yes
847,no,yes
848,yes,yes
849,no,yes
850,yes,no
851,no,yes
852,no,yes
853,yes,no
854,no,yes
855,yes,yes
856,no,yes
857,yes,yes
858,no,yes
859,yes,yes
860,no,no
861,yes,yes
862,no,yes
863,yes,yes
864,no,yes
865,yes,yes
866,yes,yes
867,no,no
868,yes,yes
869,no,yes
870,no,yes
871,yes,yes
872,yes,yes
873,yes,yes
874,no,yes
875,yes,no
876,no,no
877,yes,no
878,no,no
879,yes,no
880,no,yes
881,yes,yes
882,no,no
883,yes,yes
884,no,yes
885,yes,no
886,no,yes
887,yes,no
888,yes,yes
889,no,yes
890,yes,no
891,no,no
892,yes,yes
893,no,no
894,no,yes
895,no,yes
896,yes,no
897,no,no
898,yes,no
899,no,no
900,yes,yes
901,no,no
902,yes,no
903,yes,yes
904,no,leg
905,yes,yes
906,no,yes
907,yes,no
908,no,no
909,yes,yes
910,no,no
911,no,no
912,yes,yes
913,yes,no
914,no,yes
915,yes,yes
916,no,yes
917,yes,yes
918,no,yes
919,yes,yes
920,no,yes
921,yes,yes
922,no,yes
923,yes,yes
924,no,yes
925,yes,no
926,no,yes
927,yes,no
928,no,yes
929,yes,no
930,no,no
931,yes,yes
932,yes,yes
933,no,yes
934,yes,yes
935,no,yes
936,yes,no
937,no,no
938,yes,yes
939,no,yes
940,no,yes
941,yes,no
942,no,no
943,yes,yes
944,no,no
945,yes,no
946,no,yes
947,yes,yes
948,no,yes
949,yes,no
950,no,yes
951,yes,yes
952,yes,yes
953,no,yes
954,yes,yes
955,yes,yes
956,no,no
957,yes,yes
958,no,no
959,yes,yes
960,no,yes
961,no,yes
962,yes,no
963,no,yes
964,yes,no
965,no,no
966,yes,yes
967,no,no
968,yes,no
969,no,yes
970,yes,no
971,no,no
972,yes,yes
973,no,no
974,yes,no
975,yes,no
976,yes,yes
977,yes,yes
978,yes,yes
979,yes,no
980,yes,yes
981,no,yes
982,yes,no
983,yes,no
984,yes,no
985,yes,no
986,yes,yes
987,yes,yes
988,no,yes
989,yes,no
990,no,yes
991,yes,yes
992,no,no
993,yes,yes
994,no,yes
995,yes,yes
996,yes,yes
997,no,yes
998,yes,no
999,no,yes
1000,yes,yes
1001,no,yes
1002,no,yes
1003,yes,yes
1004,no,yes
1005,yes,yes
1006,no,yes
1007,yes,no
1008,no,yes
1009,yes,yes
1010,no,yes
1011,yes,yes
1012,no,yes
1013,yes,yes
1014,no,yes
1015,yes,yes
1016,no,no
1017,yes,yes
1018,yes,yes
1019,no,no
1020,yes,yes
1021,no,yes
1022,yes,yes
1023,no,no
1024,no,yes
1025,yes,yes
1026,no,yes
1027,yes,yes
1028,no,yes
1029,yes,no
1030,no,yes
1031,yes,yes
1032,no,yes
1033,yes,yes
1034,no,yes
1035,yes,no
1036,no,no
1037,yes,no
1038,no,no
1039,yes,yes
1040,yes,yes
1041,no,yes
1042,yes,yes
1043,no,yes
1044,no,yes
1045,yes,yes
1046,no,yes
1047,yes,no
1048,no,yes
1049,yes,yes
1050,no,yes
1051,yes,yes
1052,no,yes
1053,yes,yes
1054,no,yes
1055,yes,yes
1056,yes,yes
1057,no,no
1058,yes,yes
1059,no,yes
1060,yes,yes
1061,no,yes
1062,yes,yes
1063,no,yes
1064,yes,yes
1065,no,no
1066,yes,yes
1067,yes,yes
1068,no,yes
1069,yes,yes
1070,no,no
1071,yes,yes
1072,no,yes
1073,no,yes
1074,yes,yes
1075,no,yes
1076,yes,no
1077,no,yes
1078,yes,no
1079,no,yes
1080,yes,yes
1081,no,yes
1082,yes,yes
1083,yes,yes
1084,yes,yes
1085,yes,yes
1086,yes,no
1087,no,yes
1088,yes,yes
1089,yes,yes
1090,yes,yes
1091,yes,yes
1092,yes,breast
1093,yes,yes
1094,yes,no
1095,yes,yes
1096,yes,yes
1097,yes,yes
1098,yes,no
1099,yes,no
1100,no,yes
1101,no,yes
1102,no,yes
1103,yes,no
1104,no,yes
1105,yes,no
1106,no,yes
1107,yes,yes
1108,no,yes
1109,yes,no
1110,no,yes
1111,yes,no
1112,no,yes
1113,yes,yes
1114,no,yes
1115,yes,yes
1116,no,yes
1117,yes,no
1118,yes,yes
1119,no,yes
1120,yes,no
1121,no,no
1122,yes,yes
1123,no,no
1124,no,yes
1125,yes,yes
1126,no,yes
1127,yes,no
1128,no,no
1129,yes,yes
1130,no,no
1131,yes,yes
1132,no,no
1133,yes,yes
1134,yes,no
1135,yes,no
1136,yes,yes
1137,yes,yes
1138,yes,yes
1139,yes,no
1140,no,yes
1141,yes,yes
1142,yes,yes
1143,yes,yes
1144,no,yes
1145,yes,yes
1146,no,yes
1147,yes,yes
1148,no,yes
1149,yes,yes
1150,no,no
1151,yes,yes
1152,no,yes
1153,yes,yes
1154,no,yes
1155,yes,yes
1156,yes,yes
1157,no,yes
1158,yes,yes
1159,no,yes
1160,no,yes
1161,yes,yes
1162,no,yes
1163,yes,yes
1164,no,yes
1165,yes,yes
1166,no,yes
1167,yes,yes
1168,no,yes
1169,yes,yes
1170,no,yes
1171,yes,yes
1172,no,yes
1173,yes,yes
1174,no,yes
1175,yes,yes
1176,no,yes
1177,yes,yes
1178,no,yes
1179,yes,yes
1180,no,yes
1181,yes,yes
1182,no,yes
1183,yes,yes
1184,yes,yes
1185,no,no
1186,yes,yes
1187,no,yes
1188,no,yes
1189,yes,yes
1190,no,yes
1191,yes,yes
1192,no,yes
1193,yes,yes
1194,no,no
1195,yes,yes
1196,no,yes
1197,yes,yes
1198,no,yes
1199,yes,yes
1200,yes,yes
1201,no,yes
1202,yes,yes
1203,no,yes
1204,no,yes
1205,yes,no
1206,no,yes
1207,yes,yes
1208,no,yes
1209,yes,yes
1210,no,yes
1211,yes,yes
1212,no,no
1213,yes,yes
1214,no,yes
1215,yes,yes
1216,yes,yes
1217,no,yes
1218,yes,yes
1219,no,no
1220,yes,yes
1221,no,yes
1222,no,yes
1223,yes,yes
1224,no,yes
1225,yes,yes
1226,no,yes
1227,yes,yes
1228,no,yes
1229,yes,yes
1230,no,yes
1231,yes,no
1232,no,yes
1233,yes,yes
1234,yes,yes
1235,no,yes
1236,yes,no
1237,no,no
1238,yes,yes
1239,no,yes
1240,no,no
1241,yes,yes
1242,no,yes
1243,yes,yes
1244,no,no
1245,yes,yes
1246,no,yes
1247,yes,yes
1248,no,yes
1249,yes,yes
1250,no,yes
1251,yes,yes
1252,no,yes
1253,yes,yes
1254,yes,yes
1255,no,yes
1256,yes,yes
1257,no,yes
1258,yes,yes
1259,no,yes
1260,no,stomach
1261,yes,yes
1262,no,yes
1263,yes,no
1264,no,yes
1265,yes,yes
1266,no,yes
1267,yes,yes
1268,no,yes
1269,yes,yes
1270,no,yes
1271,yes,yes
1272,no,yes
1273,yes,yes
1274,no,yes
1275,yes,yes
1276,yes,yes
1277,no,yes
1278,yes,yes
1279,no,yes
1280,yes,no
1281,no,yes
1282,no,no
1283,yes,yes
1284,no,no
1285,yes,no
1286,no,yes
1287,yes,yes
1288,no,yes
1289,yes,yes
1290,no,yes
1291,yes,yes
1292,no,yes
1293,yes,yes
1294,yes,yes
1295,no,yes
1296,yes,yes
1297,no,no
1298,no,yes
1299,yes,yes
1300,no,yes
1301,yes,yes
1302,no,yes
1303,yes,yes
1304,no,yes
1305,yes,yes
1306,yes,yes
1307,no,yes
1308,yes,yes
1309,no,yes
1310,yes,yes
1311,no,yes
1312,yes,yes
1313,no,yes
1314,yes,yes
1315,no,yes
1316,yes,yes
1317,yes,yes
1318,no,yes
1319,yes,no
1320,no,yes
1321,yes,yes
1322,no,yes
1323,yes,yes
1324,no,yes
1325,yes,yes
1326,no,yes
1327,yes,yes
1328,yes,yes
1329,no,yes
1330,yes,yes
1331,no,yes
1332,yes,yes
1333,no,yes
1334,no,yes
1335,yes,yes
1336,no,yes
1337,yes,yes
1338,no,yes
1339,yes,yes
1340,yes,yes
1341,no,yes
1342,yes,yes
1343,no,yes
1344,yes,yes
1345,no,yes
1346,no,yes
1347,yes,yes
1348,no,yes
1349,yes,yes
1350,no,yes
1351,yes,yes
1352,no,yes
1353,yes,yes
1354,no,no
1355,yes,yes
1356,yes,yes
1357,no,yes
1358,yes,yes
1359,no,yes
1360,yes,yes
1361,no,yes
1362,no,yes
1363,yes,yes
1364,no,yes
1365,yes,yes
1366,no,no
1367,yes,yes
1368,no,yes
1369,yes,yes
1370,no,yes
1371,yes,yes
1372,no,yes
1373,yes,yes
1374,no,yes
1375,yes,yes
1376,no,yes
1377,yes,yes
1378,no,yes
1379,yes,yes
1380,no,yes
1381,yes,yes
1382,no,no
1383,yes,yes
1384,no,yes
1385,yes,yes
1386,no,yes
1387,yes,yes
1388,no,yes
1389,yes,yes
1390,no,yes
1391,yes,yes
1392,no,yes
1393,yes,yes
1394,no,yes
1395,yes,yes
1396,yes,yes
1397,no,yes
1398,yes,yes
1399,no,yes
1400,yes,yes
1401,no,yes
1402,no,yes
1403,yes,yes
1404,no,yes
1405,yes,yes
1406,no,yes
1407,yes,yes
1408,no,yes
1409,yes,yes
1410,no,yes
1411,yes,yes
1412,no,yes
1413,yes,yes
1414,no,yes
1415,yes,yes
1416,no,no
1417,yes,yes
1418,yes,yes
1419,no,yes
1420,yes,no
1421,no,yes
1422,yes,yes
1423,no,yes
1424,no,yes
1425,yes,yes
1426,no,yes
1427,yes,yes
1428,yes,yes
1429,no,yes
1430,yes,yes
1431,no,yes
1432,yes,yes
1433,no,yes
1434,yes,yes
1435,yes,yes
1436,no,yes
1437,yes,yes
1438,no,yes
1439,no,yes
1440,yes,yes
1441,no,no
1442,yes,yes
1443,no,yes
1444,yes,yes
1445,no,no
1446,yes,yes
1447,no,yes
1448,yes,yes
1449,no,yes
1450,yes,yes
1451,yes,yes
1452,no,yes
1453,yes,yes
1454,no,yes
1455,yes,yes
1456,yes,yes
1457,no,yes
1458,yes,yes
1459,no,yes
1460,yes,yes
1461,no,yes
1462,yes,yes
1463,yes,yes
1464,no,yes
1465,yes,yes
1466,no,yes
1467,yes,yes
1468,no,yes
1469,yes,yes
1470,yes,yes
1471,yes,yes
1472,yes,yes
1473,yes,yes
1474,no,yes
1475,yes,yes
1476,yes,yes
1477,yes,yes
1478,yes,yes
1479,yes,yes
1480,yes,no
1481,yes,yes
1482,no,yes
1483,yes,yes
1484,no,yes
1485,yes,yes
1486,no,yes
1487,yes,no
1488,no,yes
1489,yes,no
1490,no,yes
1491,yes,yes
1492,no,yes
1493,yes,yes
1494,yes,yes
1495,no,yes
1496,yes,no
1497,no,yes
1498,yes,yes
1499,no,yes
1500,no,yes
1501,yes,yes
1502,no,yes
1503,yes,yes
1504,no,no
1505,yes,yes
1506,no,yes
1507,yes,no
1508,no,yes
1509,yes,yes
1510,no,yes
1511,yes,yes
1512,yes,yes
1513,yes,yes
1514,no,yes
1515,yes,yes
1516,no,yes
1517,yes,yes
1518,no,yes
1519,yes,yes
1520,yes,yes
1521,no,yes
1522,yes,yes
1523,no,yes
1524,yes,yes
1525,no,yes
1526,no,yes
1527,yes,no
1528,no,yes
1529,yes,yes
1530,no,yes
1531,yes,no
1532,no,yes
1533,yes,yes
1534,no,no
1535,yes,yes
1536,no,yes
1537,yes,yes
1538,yes,yes
1539,no,yes
1540,yes,yes
1541,no,yes
1542,yes,yes
1543,no,yes
1544,yes,yes
1545,no,yes
1546,yes,no
1547,no,no
1548,yes,yes
1549,no,no
1550,yes,yes
1551,no,yes
1552,yes,yes
1553,yes,yes
1554,no,yes
1555,yes,yes
1556,no,yes
1557,yes,yes
1558,no,no
1559,no,yes
1560,yes,no
1561,no,yes
1562,yes,yes
1563,no,no
1564,yes,yes
1565,no,yes
1566,yes,yes
1567,no,yes
1568,yes,yes
1569,no,yes
1570,yes,no
1571,no,yes
1572,yes,yes
1573,no,yes
1574,yes,yes
1575,yes,yes
1576,no,yes
1577,yes,yes
1578,no,yes
1579,no,yes
1580,yes,yes
1581,no,yes
1582,yes,no
1583,no,no
1584,yes,yes
1585,no,no
1586,yes,no
1587,no,no
1588,yes,no
1589,no,yes
1590,yes,yes
1591,no,yes
1592,yes,yes
1593,no,no
1594,yes,yes
1595,no,yes
1596,yes,yes
1597,no,yes
1598,yes,yes
1599,no,yes
1600,yes,yes
1601,yes,yes
1602,no,yes
1603,yes,yes
1604,no,yes
1605,yes,yes
1606,no,yes
1607,no,yes
1608,yes,yes
1609,no,yes
1610,yes,yes
1611,no,no
1612,yes,yes
1613,no,yes
1614,yes,yes
1615,no,no
1616,yes,yes
1617,no,yes
1618,yes,yes
1619,no,yes
1620,yes,yes
1621,no,no
1622,yes,yes
1623,yes,yes
1624,no,yes
1625,yes,yes
1626,no,no
1627,no,yes
1628,yes,yes
1629,no,yes
1630,yes,yes
1631,no,yes
1632,yes,no
1633,no,yes
1634,yes,yes
1635,no,no
1636,yes,no
1637,no,yes
1638,yes,yes
1639,no,yes
1640,yes,yes
1641,no,no
1642,yes,yes
1643,yes,yes
1644,no,yes
1645,yes,yes
1646,no,yes
1647,no,no
1648,no,yes
1649,yes,yes
1650,yes,yes
1651,no,no
1652,yes,yes
1653,no,no
1654,yes,yes
1655,yes,yes
1656,no,yes
1657,yes,yes
1658,no,yes
1659,yes,yes
1660,no,yes
1661,no,yes
1662,yes,yes
1663,no,yes
1664,yes,yes
1665,no,yes
1666,yes,no
1667,no,yes
1668,yes,yes
1669,no,yes
1670,yes,yes
1671,no,yes
1672,yes,yes
1673,no,yes
1674,yes,yes
1675,yes,yes
1676,no,yes
1677,yes,yes
1678,no,yes
1679,yes,yes
1680,no,yes
1681,no,yes
1682,yes,yes
1683,no,yes
1684,yes,yes
1685,no,yes
1686,yes,yes
1687,no,no
1688,yes,yes
1689,no,yes
1690,yes,yes
1691,no,yes
1692,yes,yes
1693,yes,yes
1694,no,yes
1695,yes,yes
1696,no,yes
1697,yes,yes
1698,no,yes
1699,yes,yes
1700,yes,yes
1701,no,yes
1702,yes,yes
1703,no,yes
1704,no,yes
1705,yes,yes
1706,no,yes
1707,yes,yes
1708,no,yes
1709,yes,yes
1710,no,yes
1711,yes,yes
1712,no,yes
1713,yes,yes
1714,no,no
1715,yes,yes
1716,no,yes
1717,yes,no
1718,no,yes
1719,yes,yes
1720,no,yes
1721,yes,yes
1722,yes,no
1723,no,yes
1724,yes,yes
1725,no,no
1726,yes,yes
1727,no,yes
1728,no,yes
1729,yes,yes
1730,no,yes
1731,yes,yes
1732,no,yes
1733,yes,yes
1734,no,yes
1735,yes,yes
1736,no,yes
1737,yes,no
1738,no,yes
1739,yes,yes
1740,yes,yes
1741,no,yes
1742,yes,yes
1743,no,yes
1744,no,yes
1745,yes,yes
1746,no,yes
1747,yes,yes
1748,no,yes
1749,yes,yes
1750,no,no
1751,yes,yes
1752,no,yes
1753,no,yes
1754,yes,no
1755,no,yes
1756,yes,no
1757,no,yes
1758,yes,yes
1759,no,yes
1760,yes,yes
1761,no,yes
1762,yes,yes
1763,no,yes
1764,yes,yes
1765,yes,yes
1766,no,yes
1767,no,yes
1768,yes,yes
1769,no,yes
1770,yes,yes
1771,no,yes
1772,yes,yes
1773,no,yes
1774,yes,yes
1775,no,yes
1776,yes,yes
1777,no,yes
1778,yes,yes
1779,no,yes
1780,yes,yes
1781,no,yes
1782,yes,yes
1783,no,yes
1784,yes,yes
1785,yes,yes
1786,no,yes
1787,yes,yes
1788,no,no
1789,no,yes
1790,yes,yes
1791,no,yes
