ID,Actual Answer,Generated Answer
272,yes,yes
273,no,no
274,yes,no
275,no,no
276,yes,yes
277,no,no
278,yes,yes
279,no,yes
280,yes,yes
281,no,no
282,yes,no
283,no,no
284,yes,yes
285,no,no
286,yes,yes
287,yes,yes
288,yes,no
289,no,yes
290,yes,yes
291,yes,yes
292,no,no
293,yes,yes
294,yes,no
295,yes,yes
296,no,no
297,yes,yes
298,no,no
299,yes,yes
300,no,yes
301,yes,yes
302,no,no
303,yes,yes
304,no,no
305,yes,yes
306,no,no
307,yes,yes
308,no,no
309,yes,yes
310,no,no
311,yes,yes
312,yes,yes
313,no,no
314,yes,no
315,no,no
316,no,yes
317,yes,yes
318,no,no
319,yes,yes
320,no,no
321,yes,no
322,yes,yes
323,yes,yes
324,no,no
325,yes,yes
326,no,no
327,yes,yes
328,no,no
329,no,no
330,yes,yes
331,no,yes
332,yes,yes
333,no,no
334,yes,yes
335,no,no
336,yes,yes
337,no,no
338,yes,yes
339,no,yes
340,yes,yes
341,no,no
342,yes,yes
343,no,no
344,yes,yes
345,yes,yes
346,no,no
347,yes,yes
348,no,no
349,yes,yes
350,no,no
351,no,no
352,yes,yes
353,no,no
354,yes,yes
355,no,no
356,yes,yes
357,no,no
358,yes,yes
359,no,no
360,yes,yes
361,no,no
362,yes,yes
363,no,no
364,yes,yes
365,no,no
366,yes,yes
367,yes,no
368,no,no
369,yes,yes
370,no,no
371,yes,yes
372,no,no
373,no,yes
374,yes,yes
375,no,no
376,yes,yes
377,no,no
378,yes,yes
379,no,no
380,yes,yes
381,no,no
382,yes,yes
383,no,no
384,yes,yes
385,yes,yes
386,yes,yes
387,yes,no
388,yes,yes
389,yes,yes
390,yes,yes
391,yes,yes
392,no,yes
393,yes,yes
394,no,no
395,yes,yes
396,no,no
397,yes,yes
398,no,no
399,yes,yes
400,no,no
401,yes,yes
402,no,no
403,yes,yes
404,no,no
405,yes,yes
406,yes,yes
407,no,yes
408,yes,yes
409,no,no
410,no,no
411,yes,yes
412,no,no
413,yes,yes
414,no,no
415,yes,yes
416,no,no
417,yes,yes
418,no,no
419,yes,yes
420,no,no
421,yes,yes
422,no,no
423,yes,yes
424,no,no
425,yes,no
426,no,no
427,yes,yes
428,yes,yes
429,no,no
430,yes,yes
431,no,no
432,no,yes
433,yes,yes
434,no,no
435,yes,yes
436,no,no
437,yes,yes
438,no,no
439,yes,yes
440,no,no
441,yes,yes
442,no,no
443,no,no
444,yes,yes
445,no,no
446,yes,yes
447,no,no
448,yes,yes
449,no,no
450,yes,yes
451,no,no
452,yes,yes
453,no,no
454,yes,yes
455,no,no
456,yes,yes
457,yes,yes
458,no,no
459,yes,yes
460,no,no
461,yes,yes
462,no,no
463,no,no
464,yes,yes
465,no,yes
466,yes,yes
467,no,no
468,yes,yes
469,no,no
470,yes,yes
471,no,no
472,yes,yes
473,no,no
474,yes,yes
475,no,no
476,yes,yes
477,no,no
478,yes,no
479,yes,yes
480,no,no
481,yes,yes
482,no,no
483,yes,yes
484,no,no
485,no,yes
486,yes,yes
487,no,no
488,yes,yes
489,no,yes
490,yes,yes
491,no,no
492,yes,yes
493,no,no
494,yes,yes
495,no,no
496,yes,yes
497,no,no
498,yes,yes
499,no,no
500,yes,no
501,yes,yes
502,no,no
503,yes,yes
504,no,no
505,yes,yes
506,no,yes
507,no,no
508,yes,yes
509,no,no
510,yes,yes
511,no,no
512,yes,yes
513,no,no
514,yes,yes
515,no,no
516,yes,yes
517,no,yes
518,yes,yes
519,no,no
520,yes,yes
521,no,no
522,yes,yes
523,yes,yes
524,no,no
525,yes,yes
526,no,no
527,yes,yes
528,yes,no
529,no,yes
530,no,no
531,yes,yes
532,no,no
533,yes,yes
534,no,no
535,yes,yes
536,no,no
537,yes,yes
538,no,no
539,yes,yes
540,no,no
541,yes,yes
542,no,no
543,yes,yes
544,no,no
545,yes,no
546,yes,yes
547,no,yes
548,yes,yes
549,no,no
550,yes,yes
551,no,no
552,yes,yes
553,no,no
554,yes,yes
555,no,no
556,yes,yes
557,no,no
558,yes,no
559,yes,yes
560,no,no
561,yes,yes
562,no,no
563,yes,yes
564,no,no
565,no,no
566,yes,yes
567,no,no
568,yes,yes
569,no,no
570,yes,yes
571,no,no
572,yes,no
573,no,no
574,yes,yes
575,no,no
576,yes,yes
577,no,no
578,yes,no
579,yes,yes
580,yes,no
581,no,no
582,yes,yes
583,no,no
584,yes,yes
585,no,yes
586,no,no
587,yes,no
588,no,no
589,yes,yes
590,yes,yes
591,yes,yes
592,yes,yes
593,yes,yes
594,yes,yes
595,no,yes
596,yes,no
597,yes,yes
598,yes,yes
599,yes,yes
600,yes,yes
601,yes,yes
602,no,no
603,yes,yes
604,yes,yes
605,no,no
606,yes,yes
607,no,no
608,yes,yes
609,no,no
610,yes,yes
611,no,no
612,yes,yes
613,no,yes
614,yes,yes
615,yes,yes
616,no,no
617,yes,yes
618,no,no
619,yes,yes
620,no,yes
621,no,no
622,yes,yes
623,no,no
624,yes,yes
625,no,no
626,yes,yes
627,no,no
628,yes,yes
629,no,no
630,yes,yes
631,no,no
632,yes,yes
633,no,no
634,yes,yes
635,no,no
636,yes,yes
637,no,no
638,yes,yes
639,no,no
640,yes,yes
641,yes,yes
642,no,no
643,yes,yes
644,no,yes
645,yes,yes
646,no,no
647,no,no
648,yes,yes
649,no,no
650,yes,yes
651,no,no
652,yes,yes
653,no,no
654,yes,yes
655,no,no
656,yes,yes
657,no,no
658,yes,yes
659,no,no
660,yes,yes
661,no,yes
662,yes,yes
663,yes,yes
664,no,no
665,yes,yes
666,no,yes
667,yes,yes
668,no,no
669,yes,no
670,no,yes
671,no,no
672,yes,yes
673,no,no
674,yes,yes
675,no,no
676,yes,yes
677,no,no
678,yes,no
679,no,yes
680,yes,yes
681,yes,yes
682,no,no
683,yes,yes
684,no,no
685,yes,yes
686,no,no
687,yes,yes
688,no,yes
689,yes,yes
690,no,no
691,yes,yes
692,no,no
693,yes,no
694,yes,no
695,yes,yes
696,yes,yes
697,yes,yes
698,yes,yes
699,yes,yes
700,yes,yes
701,no,no
702,yes,yes
703,yes,no
704,yes,yes
705,yes,yes
706,no,no
707,yes,no
708,no,no
709,yes,yes
710,no,no
711,yes,yes
712,no,no
713,yes,yes
714,yes,no
715,no,no
716,yes,yes
717,no,no
718,yes,yes
719,no,no
720,no,yes
721,yes,yes
722,no,no
723,yes,no
724,no,no
725,yes,yes
726,no,no
727,yes,yes
728,no,no
729,yes,yes
730,no,yes
731,no,no
732,yes,yes
733,yes,yes
734,no,no
735,yes,yes
736,no,no
737,yes,no
738,no,no
739,no,no
740,yes,yes
741,no,no
742,yes,yes
743,no,yes
744,yes,yes
745,no,no
746,yes,yes
747,no,no
748,yes,yes
749,no,no
750,yes,yes
751,no,no
752,yes,yes
753,yes,yes
754,no,no
755,yes,yes
756,no,no
757,no,no
758,yes,yes
759,no,no
760,yes,yes
761,no,no
762,yes,yes
763,yes,yes
764,no,no
765,yes,yes
766,no,no
767,yes,yes
768,no,no
769,no,yes
770,yes,yes
771,no,yes
772,yes,yes
773,no,no
774,yes,yes
775,no,no
776,yes,yes
777,no,no
778,yes,yes
779,no,no
780,yes,yes
781,yes,yes
782,no,no
783,yes,yes
784,no,no
785,yes,yes
786,no,yes
787,no,no
788,yes,yes
789,no,no
790,yes,yes
791,no,no
792,yes,yes
793,no,no
794,yes,no
795,no,no
796,yes,yes
797,no,no
798,yes,yes
799,no,no
800,yes,no
801,no,no
802,yes,yes
803,yes,yes
804,no,no
805,yes,yes
806,no,no
807,no,no
808,yes,yes
809,no,no
810,yes,yes
811,no,no
812,yes,yes
813,no,no
814,yes,yes
815,no,no
816,yes,yes
817,no,no
818,yes,yes
819,no,no
820,yes,yes
821,no,no
822,yes,yes
823,yes,yes
824,no,no
825,yes,yes
826,no,no
827,yes,yes
828,no,no
829,yes,no
830,no,yes
831,no,no
832,yes,yes
833,no,no
834,yes,yes
835,no,no
836,yes,no
837,no,yes
838,yes,no
839,no,no
840,yes,no
841,yes,yes
842,no,no
843,yes,yes
844,no,no
845,yes,yes
846,yes,no
847,no,no
848,yes,yes
849,no,no
850,yes,yes
851,no,no
852,no,no
853,yes,yes
854,no,no
855,yes,no
856,no,yes
857,yes,yes
858,no,no
859,yes,no
860,no,no
861,yes,yes
862,no,no
863,yes,yes
864,no,no
865,yes,yes
866,yes,yes
867,no,no
868,yes,no
869,no,no
870,no,yes
871,yes,yes
872,yes,yes
873,yes,yes
874,no,no
875,yes,yes
876,no,no
877,yes,yes
878,no,no
879,yes,yes
880,no,no
881,yes,yes
882,no,no
883,yes,yes
884,no,no
885,yes,yes
886,no,no
887,yes,no
888,yes,yes
889,no,no
890,yes,no
891,no,yes
892,yes,yes
893,no,no
894,no,yes
895,no,no
896,yes,yes
897,no,no
898,yes,yes
899,no,no
900,yes,yes
901,no,no
902,yes,no
903,yes,yes
904,no,yes
905,yes,yes
906,no,no
907,yes,yes
908,no,no
909,yes,no
910,no,no
911,no,no
912,yes,yes
913,yes,yes
914,no,no
915,yes,yes
916,no,no
917,yes,yes
918,no,no
919,yes,yes
920,no,no
921,yes,yes
922,no,yes
923,yes,yes
924,no,no
925,yes,yes
926,no,no
927,yes,yes
928,no,no
929,yes,yes
930,no,no
931,yes,yes
932,yes,yes
933,no,no
934,yes,yes
935,no,no
936,yes,yes
937,no,no
938,yes,yes
939,no,yes
940,no,no
941,yes,no
942,no,no
943,yes,yes
944,no,yes
945,yes,yes
946,no,no
947,yes,yes
948,no,no
949,yes,yes
950,no,yes
951,yes,yes
952,yes,yes
953,no,no
954,yes,yes
955,yes,no
956,no,no
957,yes,yes
958,no,no
959,yes,yes
960,no,no
961,no,yes
962,yes,yes
963,no,no
964,yes,yes
965,no,no
966,yes,yes
967,no,yes
968,yes,yes
969,no,no
970,yes,yes
971,no,no
972,yes,yes
973,no,no
974,yes,yes
975,yes,yes
976,yes,yes
977,yes,no
978,yes,yes
979,yes,yes
980,yes,yes
981,no,no
982,yes,yes
983,yes,yes
984,yes,yes
985,yes,yes
986,yes,no
987,yes,yes
988,no,no
989,yes,yes
990,no,no
991,yes,yes
992,no,no
993,yes,yes
994,no,no
995,yes,yes
996,yes,yes
997,no,no
998,yes,no
999,no,yes
1000,yes,no
1001,no,no
1002,no,yes
1003,yes,yes
1004,no,no
1005,yes,yes
1006,no,no
1007,yes,yes
1008,no,no
1009,yes,yes
1010,no,no
1011,yes,yes
1012,no,no
1013,yes,yes
1014,no,no
1015,yes,yes
1016,no,no
1017,yes,yes
1018,yes,yes
1019,no,no
1020,yes,yes
1021,no,no
1022,yes,yes
1023,no,no
1024,no,no
1025,yes,yes
1026,no,no
1027,yes,yes
1028,no,no
1029,yes,yes
1030,no,no
1031,yes,no
1032,no,no
1033,yes,yes
1034,no,no
1035,yes,yes
1036,no,no
1037,yes,yes
1038,no,no
1039,yes,yes
1040,yes,no
1041,no,no
1042,yes,yes
1043,no,no
1044,no,yes
1045,yes,yes
1046,no,no
1047,yes,yes
1048,no,no
1049,yes,yes
1050,no,no
1051,yes,yes
1052,no,no
1053,yes,yes
1054,no,no
1055,yes,yes
1056,yes,yes
1057,no,no
1058,yes,yes
1059,no,yes
1060,yes,yes
1061,no,no
1062,yes,yes
1063,no,no
1064,yes,yes
1065,no,no
1066,yes,yes
1067,yes,yes
1068,no,no
1069,yes,yes
1070,no,no
1071,yes,yes
1072,no,no
1073,no,no
1074,yes,yes
1075,no,no
1076,yes,yes
1077,no,no
1078,yes,yes
1079,no,no
1080,yes,yes
1081,no,yes
1082,yes,yes
1083,yes,yes
1084,yes,yes
1085,yes,yes
1086,yes,yes
1087,no,yes
1088,yes,yes
1089,yes,yes
1090,yes,yes
1091,yes,no
1092,yes,no
1093,yes,yes
1094,yes,no
1095,yes,yes
1096,yes,yes
1097,yes,no
1098,yes,yes
1099,yes,yes
1100,no,no
1101,no,no
1102,no,yes
1103,yes,yes
1104,no,no
1105,yes,no
1106,no,yes
1107,yes,yes
1108,no,no
1109,yes,yes
1110,no,no
1111,yes,yes
1112,no,yes
1113,yes,no
1114,no,yes
1115,yes,yes
1116,no,yes
1117,yes,yes
1118,yes,yes
1119,no,no
1120,yes,yes
1121,no,no
1122,yes,no
1123,no,no
1124,no,yes
1125,yes,no
1126,no,no
1127,yes,yes
1128,no,no
1129,yes,yes
1130,no,yes
1131,yes,no
1132,no,yes
1133,yes,yes
1134,yes,yes
1135,yes,yes
1136,yes,no
1137,yes,yes
1138,yes,yes
1139,yes,yes
1140,no,yes
1141,yes,yes
1142,yes,yes
1143,yes,yes
1144,no,no
1145,yes,yes
1146,no,no
1147,yes,yes
1148,no,no
1149,yes,yes
1150,no,no
1151,yes,yes
1152,no,no
1153,yes,yes
1154,no,no
1155,yes,yes
1156,yes,yes
1157,no,no
1158,yes,yes
1159,no,yes
1160,no,no
1161,yes,yes
1162,no,no
1163,yes,yes
1164,no,no
1165,yes,yes
1166,no,no
1167,yes,yes
1168,no,no
1169,yes,yes
1170,no,no
1171,yes,yes
1172,no,no
1173,yes,yes
1174,no,no
1175,yes,yes
1176,no,yes
1177,yes,yes
1178,no,no
1179,yes,yes
1180,no,no
1181,yes,yes
1182,no,no
1183,yes,yes
1184,yes,yes
1185,no,no
1186,yes,yes
1187,no,no
1188,no,yes
1189,yes,yes
1190,no,no
1191,yes,yes
1192,no,no
1193,yes,yes
1194,no,no
1195,yes,yes
1196,no,no
1197,yes,yes
1198,no,no
1199,yes,yes
1200,yes,yes
1201,no,no
1202,yes,yes
1203,no,yes
1204,no,no
1205,yes,yes
1206,no,no
1207,yes,yes
1208,no,no
1209,yes,yes
1210,no,no
1211,yes,no
1212,no,no
1213,yes,yes
1214,no,no
1215,yes,yes
1216,yes,yes
1217,no,no
1218,yes,yes
1219,no,no
1220,yes,yes
1221,no,no
1222,no,yes
1223,yes,yes
1224,no,no
1225,yes,yes
1226,no,no
1227,yes,yes
1228,no,no
1229,yes,yes
1230,no,no
1231,yes,yes
1232,no,no
1233,yes,yes
1234,yes,yes
1235,no,yes
1236,yes,yes
1237,no,no
1238,yes,yes
1239,no,yes
1240,no,no
1241,yes,yes
1242,no,no
1243,yes,yes
1244,no,no
1245,yes,yes
1246,no,no
1247,yes,yes
1248,no,yes
1249,yes,yes
1250,no,no
1251,yes,yes
1252,no,no
1253,yes,yes
1254,yes,yes
1255,no,no
1256,yes,yes
1257,no,no
1258,yes,yes
1259,no,yes
1260,no,no
1261,yes,yes
1262,no,no
1263,yes,yes
1264,no,no
1265,yes,yes
1266,no,no
1267,yes,yes
1268,no,no
1269,yes,yes
1270,no,yes
1271,yes,yes
1272,no,no
1273,yes,yes
1274,no,no
1275,yes,yes
1276,yes,yes
1277,no,no
1278,yes,yes
1279,no,no
1280,yes,yes
1281,no,yes
1282,no,no
1283,yes,yes
1284,no,yes
1285,yes,yes
1286,no,no
1287,yes,yes
1288,no,no
1289,yes,yes
1290,no,no
1291,yes,yes
1292,no,no
1293,yes,yes
1294,yes,yes
1295,no,no
1296,yes,yes
1297,no,no
1298,no,yes
1299,yes,yes
1300,no,no
1301,yes,yes
1302,no,no
1303,yes,yes
1304,no,no
1305,yes,yes
1306,yes,yes
1307,no,yes
1308,yes,yes
1309,no,no
1310,yes,yes
1311,no,no
1312,yes,yes
1313,no,no
1314,yes,yes
1315,no,no
1316,yes,no
1317,yes,yes
1318,no,no
1319,yes,yes
1320,no,no
1321,yes,yes
1322,no,no
1323,yes,yes
1324,no,no
1325,yes,yes
1326,no,no
1327,yes,yes
1328,yes,yes
1329,no,no
1330,yes,yes
1331,no,no
1332,yes,yes
1333,no,yes
1334,no,no
1335,yes,yes
1336,no,no
1337,yes,yes
1338,no,no
1339,yes,yes
1340,yes,yes
1341,no,no
1342,yes,yes
1343,no,no
1344,yes,yes
1345,no,no
1346,no,no
1347,yes,yes
1348,no,no
1349,yes,yes
1350,no,no
1351,yes,yes
1352,no,no
1353,yes,yes
1354,no,no
1355,yes,yes
1356,yes,yes
1357,no,no
1358,yes,yes
1359,no,yes
1360,yes,yes
1361,no,no
1362,no,yes
1363,yes,yes
1364,no,no
1365,yes,no
1366,no,yes
1367,yes,yes
1368,no,no
1369,yes,yes
1370,no,no
1371,yes,no
1372,no,no
1373,yes,no
1374,no,no
1375,yes,no
1376,no,no
1377,yes,yes
1378,no,no
1379,yes,yes
1380,no,no
1381,yes,yes
1382,no,no
1383,yes,yes
1384,no,no
1385,yes,yes
1386,no,no
1387,yes,yes
1388,no,no
1389,yes,yes
1390,no,no
1391,yes,no
1392,no,no
1393,yes,yes
1394,no,no
1395,yes,no
1396,yes,yes
1397,no,no
1398,yes,no
1399,no,no
1400,yes,yes
1401,no,no
1402,no,no
1403,yes,yes
1404,no,no
1405,yes,yes
1406,no,no
1407,yes,yes
1408,no,no
1409,yes,yes
1410,no,no
1411,yes,yes
1412,no,yes
1413,yes,yes
1414,no,no
1415,yes,yes
1416,no,no
1417,yes,yes
1418,yes,yes
1419,no,no
1420,yes,no
1421,no,no
1422,yes,yes
1423,no,yes
1424,no,no
1425,yes,yes
1426,no,no
1427,yes,no
1428,yes,no
1429,no,no
1430,yes,yes
1431,no,no
1432,yes,yes
1433,no,yes
1434,yes,yes
1435,yes,no
1436,no,no
1437,yes,yes
1438,no,no
1439,no,no
1440,yes,yes
1441,no,no
1442,yes,no
1443,no,no
1444,yes,no
1445,no,no
1446,yes,yes
1447,no,no
1448,yes,yes
1449,no,no
1450,yes,yes
1451,yes,no
1452,no,yes
1453,yes,no
1454,no,no
1455,yes,yes
1456,yes,yes
1457,no,no
1458,yes,yes
1459,no,no
1460,yes,no
1461,no,no
1462,yes,yes
1463,yes,yes
1464,no,no
1465,yes,yes
1466,no,yes
1467,yes,no
1468,no,no
1469,yes,no
1470,yes,yes
1471,yes,yes
1472,yes,no
1473,yes,yes
1474,no,no
1475,yes,no
1476,yes,yes
1477,yes,yes
1478,yes,yes
1479,yes,yes
1480,yes,no
1481,yes,yes
1482,no,no
1483,yes,yes
1484,no,no
1485,yes,yes
1486,no,no
1487,yes,yes
1488,no,no
1489,yes,yes
1490,no,no
1491,yes,no
1492,no,yes
1493,yes,yes
1494,yes,yes
1495,no,no
1496,yes,no
1497,no,no
1498,yes,yes
1499,no,yes
1500,no,yes
1501,yes,yes
1502,no,yes
1503,yes,yes
1504,no,no
1505,yes,yes
1506,no,no
1507,yes,yes
1508,no,no
1509,yes,no
1510,no,no
1511,yes,yes
1512,yes,yes
1513,yes,yes
1514,no,no
1515,yes,yes
1516,no,no
1517,yes,no
1518,no,yes
1519,yes,yes
1520,yes,yes
1521,no,no
1522,yes,yes
1523,no,no
1524,yes,yes
1525,no,no
1526,no,no
1527,yes,yes
1528,no,no
1529,yes,no
1530,no,yes
1531,yes,yes
1532,no,no
1533,yes,yes
1534,no,no
1535,yes,no
1536,no,no
1537,yes,no
1538,yes,no
1539,no,no
1540,yes,no
1541,no,no
1542,yes,yes
1543,no,no
1544,yes,yes
1545,no,no
1546,yes,yes
1547,no,no
1548,yes,yes
1549,no,no
1550,yes,yes
1551,no,no
1552,yes,yes
1553,yes,yes
1554,no,no
1555,yes,yes
1556,no,no
1557,yes,yes
1558,no,no
1559,no,yes
1560,yes,yes
1561,no,no
1562,yes,yes
1563,no,no
1564,yes,yes
1565,no,no
1566,yes,yes
1567,no,no
1568,yes,yes
1569,no,no
1570,yes,yes
1571,no,no
1572,yes,yes
1573,no,yes
1574,yes,no
1575,yes,yes
1576,no,no
1577,yes,no
1578,no,no
1579,no,no
1580,yes,yes
1581,no,no
1582,yes,yes
1583,no,yes
1584,yes,yes
1585,no,yes
1586,yes,yes
1587,no,no
1588,yes,yes
1589,no,yes
1590,yes,no
1591,no,no
1592,yes,yes
1593,no,no
1594,yes,yes
1595,no,no
1596,yes,no
1597,no,no
1598,yes,yes
1599,no,no
1600,yes,yes
1601,yes,yes
1602,no,no
1603,yes,yes
1604,no,no
1605,yes,yes
1606,no,yes
1607,no,yes
1608,yes,yes
1609,no,no
1610,yes,yes
1611,no,no
1612,yes,yes
1613,no,no
1614,yes,yes
1615,no,yes
1616,yes,yes
1617,no,no
1618,yes,yes
1619,no,no
1620,yes,yes
1621,no,yes
1622,yes,yes
1623,yes,yes
1624,no,no
1625,yes,no
1626,no,no
1627,no,yes
1628,yes,no
1629,no,yes
1630,yes,yes
1631,no,no
1632,yes,yes
1633,no,no
1634,yes,yes
1635,no,yes
1636,yes,yes
1637,no,no
1638,yes,yes
1639,no,no
1640,yes,yes
1641,no,no
1642,yes,yes
1643,yes,yes
1644,no,yes
1645,yes,yes
1646,no,yes
1647,no,no
1648,no,no
1649,yes,yes
1650,yes,yes
1651,no,yes
1652,yes,yes
1653,no,yes
1654,yes,yes
1655,yes,yes
1656,no,no
1657,yes,yes
1658,no,no
1659,yes,no
1660,no,no
1661,no,no
1662,yes,yes
1663,no,no
1664,yes,yes
1665,no,no
1666,yes,no
1667,no,no
1668,yes,yes
1669,no,no
1670,yes,yes
1671,no,no
1672,yes,yes
1673,no,yes
1674,yes,yes
1675,yes,yes
1676,no,no
1677,yes,yes
1678,no,no
1679,yes,yes
1680,no,no
1681,no,yes
1682,yes,yes
1683,no,no
1684,yes,no
1685,no,yes
1686,yes,yes
1687,no,no
1688,yes,yes
1689,no,no
1690,yes,no
1691,no,no
1692,yes,no
1693,yes,yes
1694,no,no
1695,yes,yes
1696,no,no
1697,yes,yes
1698,no,yes
1699,yes,yes
1700,yes,yes
1701,no,no
1702,yes,yes
1703,no,no
1704,no,yes
1705,yes,yes
1706,no,no
1707,yes,yes
1708,no,no
1709,yes,yes
1710,no,no
1711,yes,yes
1712,no,no
1713,yes,yes
1714,no,no
1715,yes,yes
1716,no,no
1717,yes,yes
1718,no,no
1719,yes,yes
1720,no,no
1721,yes,no
1722,yes,yes
1723,no,no
1724,yes,yes
1725,no,yes
1726,yes,yes
1727,no,no
1728,no,yes
1729,yes,yes
1730,no,no
1731,yes,yes
1732,no,no
1733,yes,yes
1734,no,no
1735,yes,yes
1736,no,no
1737,yes,yes
1738,no,no
1739,yes,yes
1740,yes,yes
1741,no,no
1742,yes,yes
1743,no,yes
1744,no,no
1745,yes,yes
1746,no,no
1747,yes,yes
1748,no,no
1749,yes,yes
1750,no,no
1751,yes,no
1752,no,no
1753,no,no
1754,yes,no
1755,no,no
1756,yes,yes
1757,no,no
1758,yes,yes
1759,no,no
1760,yes,yes
1761,no,no
1762,yes,no
1763,no,no
1764,yes,yes
1765,yes,yes
1766,no,no
1767,no,yes
1768,yes,yes
1769,no,no
1770,yes,yes
1771,no,no
1772,yes,yes
1773,no,no
1774,yes,yes
1775,no,no
1776,yes,yes
1777,no,no
1778,yes,yes
1779,no,no
1780,yes,yes
1781,no,no
1782,yes,no
1783,no,no
1784,yes,yes
1785,yes,yes
1786,no,no
1787,yes,yes
1788,no,no
1789,no,yes
1790,yes,yes
1791,no,no
1792,yes,yes
1793,no,no
1794,yes,yes
1795,yes,yes
1796,yes,yes
1797,yes,yes
1798,yes,yes
1799,no,yes
1800,yes,yes
1801,no,no
1802,yes,yes
1803,yes,yes
1804,no,no
1805,yes,yes
1806,no,no
1807,yes,yes
1808,no,no
1809,no,no
1810,yes,yes
1811,no,no
1812,yes,yes
1813,no,no
1814,yes,yes
1815,no,no
1816,yes,yes
1817,no,no
1818,yes,yes
1819,no,no
1820,yes,yes
1821,no,no
1822,yes,yes
1823,no,no
1824,yes,yes
1825,no,yes
1826,yes,yes
1827,yes,yes
1828,no,no
1829,yes,yes
1830,no,no
1831,yes,yes
1832,no,no
1833,no,yes
1834,yes,yes
1835,no,no
1836,yes,yes
1837,no,no
1838,yes,yes
1839,no,no
1840,yes,yes
1841,no,no
1842,yes,yes
1843,no,no
1844,yes,yes
1845,no,no
1846,yes,yes
1847,yes,yes
1848,no,no
1849,yes,yes
1850,no,no
1851,yes,yes
1852,no,no
1853,yes,yes
